Phylum,Class,Order,Family,Genus,sample,name2,count
Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae,Edaphobacter,X1085,Control 3,6
Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae,Terracidiphilus,X1083,Control 1,5
Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae,Terracidiphilus,X1087,Control 5,2
Acidobacteriota,Acidobacteriae,Acidobacteriales,SbA1,Unclassified,X1084,Control 2,4
Acidobacteriota,Acidobacteriae,Acidobacteriales,Unclassified,Unclassified,X1086,Control 4,2
Acidobacteriota,Acidobacteriae,Acidobacteriales,Unclassified,Unclassified,X1087,Control 5,4
Acidobacteriota,Acidobacteriae,Acidoferrales,UBA7541,Acidoferrum,X1084,Control 2,4
Acidobacteriota,Acidobacteriae,Acidoferrales,UBA7541,Palsa-147,X1083,Control 1,8
Acidobacteriota,Acidobacteriae,Acidoferrales,UBA7541,Palsa-147,X1086,Control 4,3
Acidobacteriota,Acidobacteriae,Acidoferrales,UBA7541,Palsa-295,X1084,Control 2,7
Acidobacteriota,Acidobacteriae,Acidoferrales,UBA7541,Palsa-295,X1085,Control 3,6
Acidobacteriota,Acidobacteriae,Acidoferrales,UBA7541,QHYU01,X1084,Control 2,4
Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Ga0077553,X1083,Control 1,9
Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Unclassified,X1083,Control 1,6
Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Unclassified,X1084,Control 2,3
Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Unclassified,X1090,Heated 2,15
Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Unclassified,X1092,Heated 4,9
Acidobacteriota,Acidobacteriae,UBA7540,UBA7540,Unclassified,X1083,Control 1,7
Acidobacteriota,Aminicenantia,Aminicenantales,RBG-16-66-30,RBG-16-66-30,X1084,Control 2,3
Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,Unclassified,X1084,Control 2,7
Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacter,X1094,Heated 6,27
Acidobacteriota,Holophagae,Holophagales,Holophagaceae,Geothrix,X1083,Control 1,5
Acidobacteriota,Holophagae,Holophagales,Holophagaceae,Geothrix,X1085,Control 3,5
Acidobacteriota,Thermoanaerobaculia,Unclassified,Unclassified,Unclassified,X1085,Control 3,4
Acidobacteriota,Vicinamibacteria,Fen-336,JAGNNV01,JAGNNV01,X1086,Control 4,3
Acidobacteriota,Vicinamibacteria,Fen-336,JAGNNV01,JAGNNV01,X1090,Heated 2,6
Acidobacteriota,Vicinamibacteria,Vicinamibacterales,SCN-69-37,SCN-69-37,X1083,Control 1,5
Acidobacteriota,Vicinamibacteria,Vicinamibacterales,SCN-69-37,SCN-69-37,X1085,Control 3,4
Acidobacteriota,Vicinamibacteria,Vicinamibacterales,SCN-69-37,SCN-69-37,X1086,Control 4,5
Acidobacteriota,Vicinamibacteria,Vicinamibacterales,SCN-69-37,SCN-69-37,X1088,Control 6,4
Acidobacteriota,Vicinamibacteria,Vicinamibacterales,SCN-69-37,SCN-69-37,X1089,Heated 1,5
Acidobacteriota,Vicinamibacteria,Vicinamibacterales,SCN-69-37,SCN-69-37,X1090,Heated 2,69
Acidobacteriota,Vicinamibacteria,Vicinamibacterales,SCN-69-37,SCN-69-37,X1091,Heated 3,14
Acidobacteriota,Vicinamibacteria,Vicinamibacterales,SCN-69-37,SCN-69-37,X1092,Heated 4,27
Acidobacteriota,Vicinamibacteria,Vicinamibacterales,SCN-69-37,SCN-69-37,X1093,Heated 5,12
Acidobacteriota,Vicinamibacteria,Vicinamibacterales,UBA2999,12-FULL-67-14b,X1090,Heated 2,4
Acidobacteriota,Vicinamibacteria,Vicinamibacterales,UBA2999,Gp6-AA45,X1083,Control 1,4
Acidobacteriota,Vicinamibacteria,Vicinamibacterales,UBA2999,Gp6-AA45,X1085,Control 3,4
Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Luteitalea,X1083,Control 1,8
Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Luteitalea,X1090,Heated 2,9
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Bog-793,Fen-455,X1084,Control 2,7
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,BACL27,X1083,Control 1,502
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,BACL27,X1084,Control 2,311
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,BACL27,X1085,Control 3,180
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,BACL27,X1086,Control 4,254
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,BACL27,X1087,Control 5,240
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,BACL27,X1088,Control 6,129
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,BACL27,X1089,Heated 1,1226
