Phylum,Class,Order,Family,Genus,sample,bay,tpm
 Acidobacteriota, Acidobacteriae, Acidobacteriales, Acidobacteriaceae, Acidobacteriaceae uncl.,106,heated,16.91221418
 Acidobacteriota, Acidobacteriae, Acidobacteriales, Acidobacteriaceae, Acidobacteriaceae uncl.,108,heated,4.385544051
 Acidobacteriota, Acidobacteriae, Acidobacteriales, Acidobacteriaceae, Acidobacteriaceae uncl.,110,heated,12.89363217
 Acidobacteriota, Acidobacteriae, Acidobacteriales, Acidobacteriaceae, Acidobacteriaceae uncl.,111,heated,14.62184093
 Acidobacteriota, Acidobacteriae, Acidobacteriales, Acidobacteriaceae, Palsa-288,101,control,2.448728735
 Acidobacteriota, Acidobacteriae, Acidobacteriales, Acidobacteriaceae, Palsa-288,104,control,39.34063066
 Acidobacteriota, Acidobacteriae, Acidobacteriales, Acidobacteriaceae, Terracidiphilus,106,heated,11.24193829
 Acidobacteriota, Acidobacteriae, Acidobacteriales, Acidobacteriaceae, Terracidiphilus,107,heated,1.678443726
 Acidobacteriota, Acidobacteriae, Acidobacteriales, Acidobacteriaceae, Terracidiphilus,108,heated,0.805508091
 Acidobacteriota, Acidobacteriae, Acidobacteriales, Acidobacteriales uncl., Acidobacteriales uncl. uncl.,101,control,6.802024264
 Acidobacteriota, Acidobacteriae, Acidobacteriales, Acidobacteriales uncl., Acidobacteriales uncl. uncl.,102,control,3.176705707
 Acidobacteriota, Acidobacteriae, Acidobacteriales, Acidobacteriales uncl., Acidobacteriales uncl. uncl.,103,control,5.319660063
 Acidobacteriota, Acidobacteriae, Acidobacteriales, Acidobacteriales uncl., Acidobacteriales uncl. uncl.,106,heated,17.7269872
 Acidobacteriota, Acidobacteriae, Acidobacteriales, Acidobacteriales uncl., Acidobacteriales uncl. uncl.,107,heated,2.183462193
 Acidobacteriota, Acidobacteriae, Acidobacteriales, Acidobacteriales uncl., Acidobacteriales uncl. uncl.,108,heated,5.124161997
 Acidobacteriota, Acidobacteriae, Acidobacteriales, Acidobacteriales uncl., Acidobacteriales uncl. uncl.,109,heated,5.21328995
 Acidobacteriota, Acidobacteriae, Acidobacteriales, Acidobacteriales uncl., Acidobacteriales uncl. uncl.,110,heated,16.69025735
 Acidobacteriota, Acidobacteriae, Acidobacteriales, Acidobacteriales uncl., Acidobacteriales uncl. uncl.,111,heated,5.848736372
 Acidobacteriota, Acidobacteriae, Acidobacteriales, Koribacteraceae, Bog-257,104,control,39.02840343
 Acidobacteriota, Acidobacteriae, Acidobacteriales, Koribacteraceae, Bog-257,111,heated,7.310920465
 Acidobacteriota, Acidobacteriae, Acidobacteriales, SbA1, Sulfotelmatobacter,105,control,1.534140525
 Acidobacteriota, Acidobacteriae, Acidobacteriales, SbA1, Sulfotelmatobacter,106,heated,14.12448657
 Acidobacteriota, Acidobacteriae, Acidobacteriales, SbA1, Sulfotelmatobacter,107,heated,13.70729043
 Acidobacteriota, Acidobacteriae, Acidobacteriales, SbA1, Sulfotelmatobacter,108,heated,4.698797198
 Acidobacteriota, Acidobacteriae, Acidobacteriales, SbA1, Sulfotelmatobacter,109,heated,0.980855418
 Acidobacteriota, Acidobacteriae, Acidobacteriales, SbA1, Sulfotelmatobacter,110,heated,2.455929937
 Acidobacteriota, Acidobacteriae, Acidoferrales, UBA7541, UBA7541 uncl.,101,control,9.87390619
 Acidobacteriota, Acidobacteriae, Acidoferrales, UBA7541, UBA7541 uncl.,102,control,65.61775981
 Acidobacteriota, Acidobacteriae, Acidoferrales, UBA7541, UBA7541 uncl.,103,control,19.39101894
 Acidobacteriota, Acidobacteriae, Acidoferrales, UBA7541, UBA7541 uncl.,104,control,7.553884536
 Acidobacteriota, Acidobacteriae, Acidoferrales, UBA7541, UBA7541 uncl.,105,control,6.235538906
 Acidobacteriota, Acidobacteriae, Acidoferrales, UBA7541, UBA7541 uncl.,106,heated,116.1852928
 Acidobacteriota, Acidobacteriae, Acidoferrales, UBA7541, UBA7541 uncl.,107,heated,151.2223654
 Acidobacteriota, Acidobacteriae, Acidoferrales, UBA7541, UBA7541 uncl.,108,heated,48.38245373
 Acidobacteriota, Acidobacteriae, Acidoferrales, UBA7541, UBA7541 uncl.,109,heated,35.88032402
 Acidobacteriota, Acidobacteriae, Acidoferrales, UBA7541, UBA7541 uncl.,110,heated,104.8127518
 Acidobacteriota, Acidobacteriae, Acidoferrales, UBA7541, UBA7541 uncl.,111,heated,209.4224959
 Acidobacteriota, Acidobacteriae, Bryobacterales, Bryobacteraceae, Bryobacteraceae uncl.,101,control,30.12179641
 Acidobacteriota, Acidobacteriae, Bryobacterales, Bryobacteraceae, Bryobacteraceae uncl.,102,control,23.55495797
 Acidobacteriota, Acidobacteriae, Bryobacterales, Bryobacteraceae, Bryobacteraceae uncl.,103,control,12.66665434
 Acidobacteriota, Acidobacteriae, Bryobacterales, Bryobacteraceae, Bryobacteraceae uncl.,104,control,7.623969497
 Acidobacteriota, Acidobacteriae, Bryobacterales, Bryobacteraceae, Bryobacteraceae uncl.,105,control,4.956454003
 Acidobacteriota, Acidobacteriae, Bryobacterales, Bryobacteraceae, Bryobacteraceae uncl.,106,heated,60.36994491
 Acidobacteriota, Acidobacteriae, Bryobacterales, Bryobacteraceae, Bryobacteraceae uncl.,107,heated,73.32020211
 Acidobacteriota, Acidobacteriae, Bryobacterales, Bryobacteraceae, Bryobacteraceae uncl.,108,heated,39.33569452
 Acidobacteriota, Acidobacteriae, Bryobacterales, Bryobacteraceae, Bryobacteraceae uncl.,109,heated,74.21216355
 Acidobacteriota, Acidobacteriae, Bryobacterales, Bryobacteraceae, Bryobacteraceae uncl.,110,heated,103.3015926
 Acidobacteriota, Acidobacteriae, Bryobacterales, Bryobacteraceae, Bryobacteraceae uncl.,111,heated,34.54072608
 Acidobacteriota, Acidobacteriae, Bryobacterales, Bryobacterales uncl., Bryobacterales uncl. uncl.,101,control,29.34660096
 Acidobacteriota, Acidobacteriae, Bryobacterales, Bryobacterales uncl., Bryobacterales uncl. uncl.,102,control,84.76196099
 Acidobacteriota, Acidobacteriae, Bryobacterales, Bryobacterales uncl., Bryobacterales uncl. uncl.,103,control,10.20772506
 Acidobacteriota, Acidobacteriae, Bryobacterales, Bryobacterales uncl., Bryobacterales uncl. uncl.,104,control,16.04976731
